player_id,first_name,last_name,full_name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
76003,Kareem,Abdul-Jabbar,Kareem Abdul-Jabbar,1947-04-16,UCLA,USA,UCLA/USA,7-2,225.0,20.0,33,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1969,1988,N,Y,Y,1969,1,1,Y
1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,1997-11-20,University of Dayton,Greece,Dayton/Greece,6-10,200.0,4.0,37,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2018,2020,Y,Y,Y,2018,2,60,N
2546,Carmelo,Anthony,Carmelo Anthony,1984-05-29,Syracuse,USA,Syracuse/USA,6-7,238.0,20.0,7,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2003,2021,N,Y,Y,2003,1,3,Y
76127,Elgin,Baylor,Elgin Baylor,1934-09-16,Seattle,USA,Seattle/USA,6-5,225.0,14.0,22,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1958,1971,N,Y,Y,1958,1,1,Y
203145,Kent,Bazemore,Kent Bazemore,1989-07-01,Old Dominion,USA,Old Dominion/USA,6-4,195.0,11.0,9,Guard-Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2012,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1627736,Malik,Beasley,Malik Beasley,1996-11-26,Florida State,USA,Florida State/USA,6-4,187.0,7.0,5,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,2016,2023,Y,Y,Y,2016,1,19,N
712,Mario,Bennett,Mario Bennett,1973-08-01,Arizona State,USA,Arizona State/USA,6-9,235.0,5.0,24,Center-Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1995,2002,N,Y,Y,1995,1,27,N
204028,Tarik,Black,Tarik Black,1991-11-22,Kansas,USA,Kansas/USA,6-9,250.0,5.0,28,Forward-Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2014,2017,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76180,Alex,Blackwell,Alex Blackwell,1970-06-27,Monmouth,USA,Monmouth/USA,6-6,250.0,1.0,30,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1992,1992,N,Y,Y,Undrafted,Undrafted,Undrafted,N
202340,Avery,Bradley,Avery Bradley,1990-11-26,University of Texas at Austin,USA,Texas-Austin/USA,6-3,180.0,13.0,20,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2010,2021,Y,Y,Y,2010,1,19,N
1626148,Anthony,Brown,Anthony Brown,1992-10-10,Stanford,USA,Stanford/USA,6-7,224.0,4.0,3,Forward-Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2015,2017,Y,Y,Y,2015,2,34,N
76273,George,Brown,George Brown,1935-10-30,Wayne State,USA,Wayne State/USA,6-6,190.0,1.0,No Data,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1957,1957,N,Y,Y,1957,4,27,N
203913,Jabari,Brown,Jabari Brown,1992-12-18,Missouri,USA,Missouri/USA,6-5,214.0,2.0,15,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2014,2014,Y,Y,Y,2014,No Data,No Data,N
1628972,Troy,Brown Jr.,Troy Brown Jr.,1999-07-28,Oregon,USA,Oregon/USA,6-7,215.0,5.0,7,Guard-Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,2018,2023,Y,Y,Y,2018,1,15,N
977,Kobe,Bryant,Kobe Bryant,1978-08-23,Lower Merion HS (PA),USA,Lower Merion HS (PA)/USA,6-6,212.0,20.0,24,Forward-Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1996,2015,N,Y,Y,1996,1,13,Y
76294,Steve,Bucknall,Steve Bucknall,1966-03-17,North Carolina,USA,North Carolina/USA,6-6,215.0,1.0,24,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1989,1989,N,Y,Y,Undrafted,Undrafted,Undrafted,N
101115,Andrew,Bynum,Andrew Bynum,1987-10-27,St. Joseph HS (NJ),USA,St. Joseph HS (NJ)/USA,7-0,285.0,8.0,17,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2005,2013,N,Y,Y,2005,1,10,N
76332,Demetrius,Calip,Demetrius Calip,1969-11-18,Michigan,USA,Michigan/USA,6-1,165.0,1.0,7,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1991,1991,N,Y,Y,Undrafted,Undrafted,Undrafted,N
922,Elden,Campbell,Elden Campbell,1968-07-23,Clemson,USA,Clemson/USA,7-0,279.0,16.0,41,Center-Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1990,2004,N,Y,Y,1990,1,27,N
202382,Derrick,Caracter,Derrick Caracter,1988-05-04,Texas-El Paso,USA,Texas-El Paso/USA,6-9,275.0,2.0,45,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2010,2010,Y,Y,Y,2010,2,58,N
76344,Don,Carlson,Don Carlson,1921-03-22,Minnesota,USA,Minnesota/USA,6-0,170.0,4.0,No Data,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1946,1950,N,Y,Y,Undrafted,Undrafted,Undrafted,N
76345,Bob,Carney,Bob Carney,1932-08-03,Bradley,USA,Bradley/USA,6-3,170.0,1.0,18,Center,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1954,1954,N,Y,Y,1954,6,47,N
76361,Ron,Carter,Ron Carter,1956-08-31,Virginia Military Institute,USA,Virginia Military Institute/USA,6-5,190.0,2.0,13,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1978,1979,N,Y,Y,1978,2,26,N
76363,Jay,Carty,Jay Carty,1941-07-04,Oregon State,USA,Oregon State/USA,6-7,220.0,1.0,52,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1968,1968,N,Y,Y,1962,6,46,N
1030,Duane,Cooper,Duane Cooper,1969-06-25,Southern California,USA,Southern California/USA,6-1,185.0,2.0,10,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1992,1993,N,Y,Y,1992,2,36,N
76444,Michael,Cooper,Michael Cooper,1956-04-15,New Mexico,USA,New Mexico/USA,6-7,170.0,12.0,21,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1978,1989,N,Y,Y,1978,3,60,N
76458,Mel,Counts,Mel Counts,1941-10-16,Oregon State,USA,Oregon State/USA,7-0,230.0,12.0,31,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1964,1975,N,Y,Y,1964,1,7,N
76466,Freddie,Crawford,Freddie Crawford,1940-12-23,St. Bonaventure,USA,St. Bonaventure/USA,6-4,189.0,5.0,15,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1966,1970,N,Y,Y,1964,4,26,N
203076,Anthony,Davis,Anthony Davis,1993-03-11,Kentucky,USA,Kentucky/USA,6-10,253.0,11.0,3,Forward-Center,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,2012,2023,N,Y,Y,2012,1,1,Y
124,Vlade,Divac,Vlade Divac,1968-02-03,Partizan,Serbia,Partizan/Serbia,7-1,260.0,17.0,21,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1989,2004,N,Y,Y,1989,1,26,N
202365,Devin,Ebanks,Devin Ebanks,1989-10-28,West Virginia,USA,West Virginia/USA,6-9,215.0,4.0,3,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2010,2012,Y,Y,Y,2010,2,43,N
201961,Wayne,Ellington,Wayne Ellington,1987-11-29,North Carolina,USA,North Carolina/USA,6-4,207.0,14.0,2,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2009,2021,N,Y,Y,2009,1,28,N
76658,Alexander,Ellis,Alexander Ellis,1936-02-11,Niagara,USA,Niagara/USA,6-5,185.0,2.0,30,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1958,1959,N,Y,Y,1958,3,16,N
76663,Leroy,Ellis,Leroy Ellis,1940-03-10,St. John's (NY),USA,St. John's (NY)/USA,6-11,210.0,14.0,25,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1962,1975,N,Y,Y,1962,1,6,N
203898,Tyler,Ennis,Tyler Ennis,1994-08-24,Syracuse,Canada,Syracuse/Canada,6-3,194.0,4.0,10,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,2014,2017,Y,Y,Y,2014,1,18,N
76679,Bo,Erias,Bo Erias,1932-07-30,Niagara,USA,Niagara/USA,6-3,220.0,1.0,No Data,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1957,1957,N,Y,Y,1954,5,43,N
76680,Keith,Erickson,Keith Erickson,1944-04-19,UCLA,USA,UCLA/USA,6-5,195.0,12.0,14,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1965,1976,N,Y,Y,1965,3,18,N
76691,John,Fairchild,John Fairchild,1943-04-28,Brigham Young,USA,Brigham Young/USA,6-7,205.0,1.0,33,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1965,1965,N,Y,Y,1965,2,16,N
76701,Ron,Feiereisel,Ron Feiereisel,1931-08-06,DePaul,USA,DePaul/USA,6-3,185.0,1.0,22,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1955,1955,N,Y,Y,1953,No Data,No Data,N
76711,Arnie,Ferrin,Arnie Ferrin,1925-07-29,Utah,USA,Utah/USA,6-4,180.0,3.0,18,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1948,1950,N,Y,Y,1948,No Data,No Data,N
965,Derek,Fisher,Derek Fisher,1974-08-09,Arkansas-Little Rock,USA,Arkansas-Little Rock/USA,6-1,210.0,18.0,6,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1996,2013,N,Y,Y,1996,1,24,N
76723,Ed,Fleming,Ed Fleming,1933-07-25,Niagara,USA,Niagara/USA,6-3,189.0,5.0,50,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1955,1959,N,Y,Y,1955,3,16,N
76734,Don,Ford,Don Ford,1952-12-31,California-Santa Barbara,USA,California-Santa Barbara/USA,6-9,215.0,7.0,35,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,1975,1981,N,Y,Y,1975,6,92,N
76738,Donnie,Forman,Donnie Forman,1926-01-17,New York University,USA,New York University/USA,5-10,175.0,1.0,22,Guard,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,1948,1948,N,Y,Y,Undrafted,Undrafted,Undrafted,N
