Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,type_season,season_year
443,Reggie Perry,PF,21,POR,9,1,19.7,4.3,8.7,0.5,0.3,1.8,0.188,4.0,6.9,0.581,0.519,1.0,1.7,0.6,1.7,3.4,5.1,1.3,1.0,0.7,1.2,3.3,10.0,regular,2022-2023
443,Reggie Perry,PF,21,IND,1,0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,regular,2022-2023
444,Jamorko Pickett,PF,24,DET,13,0,13.5,1.4,3.8,0.36,1.0,3.0,0.333,0.4,0.8,0.455,0.49,0.1,0.2,0.5,0.5,2.0,2.5,0.5,0.0,0.5,0.4,0.9,3.8,regular,2022-2023
445,Theo Pinson,SF,26,DAL,19,0,7.8,0.7,2.1,0.359,0.5,1.6,0.333,0.2,0.5,0.444,0.487,0.5,0.5,1.0,0.1,1.0,1.1,0.9,0.3,0.1,0.3,0.6,2.5,regular,2022-2023
446,Mason Plumlee,C,31,CHO,73,73,24.6,2.8,4.4,0.641,0.0,0.0,0.0,2.8,4.4,0.645,0.641,0.9,2.3,0.392,2.4,5.3,7.7,3.1,0.8,0.7,1.4,3.1,6.5,regular,2022-2023
447,Jakob Poeltl,C,26,SAS,68,67,29.0,6.0,9.8,0.618,0.0,0.0,1.0,6.0,9.7,0.618,0.619,1.4,2.8,0.495,3.9,5.5,9.3,2.8,0.7,1.7,1.6,3.1,13.5,regular,2022-2023
448,Aleksej Pokusevski,PF,20,OKC,61,12,20.2,3.0,7.5,0.408,0.9,3.2,0.289,2.1,4.2,0.498,0.47,0.6,0.8,0.7,1.2,4.0,5.2,2.1,0.6,0.6,1.5,1.4,7.6,regular,2022-2023
449,Yves Pons,SF,22,MEM,12,0,5.9,0.4,1.3,0.313,0.3,0.8,0.333,0.2,0.6,0.286,0.406,0.0,0.2,0.0,0.4,0.6,1.0,0.1,0.1,0.3,0.1,0.5,1.1,regular,2022-2023
450,Jordan Poole,SG,22,GSW,76,51,30.0,6.2,13.9,0.448,2.8,7.6,0.364,3.5,6.3,0.55,0.548,3.2,3.5,0.925,0.4,3.0,3.4,4.0,0.8,0.3,2.5,2.7,18.5,regular,2022-2023
451,Kevin Porter Jr.,PG,21,HOU,61,61,31.3,5.5,13.2,0.415,2.5,6.8,0.375,3.0,6.5,0.456,0.511,2.0,3.2,0.642,0.7,3.7,4.4,6.2,1.1,0.4,3.1,2.6,15.6,regular,2022-2023
452,Michael Porter Jr.,SF,23,DEN,9,9,29.4,4.1,11.4,0.359,1.1,5.3,0.208,3.0,6.1,0.491,0.408,0.6,1.0,0.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9,regular,2022-2023
453,Otto Porter Jr.,PF,28,GSW,63,15,22.2,3.1,6.6,0.464,1.3,3.4,0.37,1.8,3.2,0.565,0.56,0.8,1.0,0.803,1.4,4.4,5.7,1.5,1.1,0.5,0.6,1.3,8.2,regular,2022-2023
454,Bobby Portis,C,26,MIL,72,59,28.2,5.8,12.1,0.479,1.8,4.7,0.393,3.9,7.4,0.533,0.555,1.2,1.6,0.752,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,14.6,regular,2022-2023
455,Kristaps Porzi??is,PF,26,TOT,51,51,29.0,6.9,15.0,0.459,1.5,4.9,0.31,5.4,10.1,0.532,0.51,4.9,5.6,0.867,2.0,6.1,8.1,2.3,0.7,1.6,1.6,2.7,20.2,regular,2022-2023
455,Kristaps Porzi??is,PF,26,DAL,34,34,29.5,6.7,14.9,0.451,1.4,5.1,0.283,5.3,9.9,0.537,0.499,4.3,5.0,0.865,1.9,5.8,7.7,2.0,0.7,1.7,1.6,2.6,19.2,regular,2022-2023
455,Kristaps Porzi??is,PF,26,WAS,17,17,28.2,7.2,15.2,0.475,1.7,4.6,0.367,5.5,10.6,0.522,0.531,5.9,6.8,0.871,2.2,6.6,8.8,2.9,0.7,1.5,1.6,2.9,22.1,regular,2022-2023
456,Micah Potter,C,23,DET,3,0,10.3,1.7,3.7,0.455,0.0,0.7,0.0,1.7,3.0,0.556,0.455,0.7,0.7,1.0,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0,regular,2022-2023
457,Dwight Powell,C,30,DAL,82,71,21.9,3.3,4.9,0.671,0.2,0.5,0.351,3.1,4.4,0.703,0.687,2.0,2.6,0.783,2.1,2.8,4.9,1.2,0.5,0.5,0.8,2.7,8.7,regular,2022-2023
458,Myles Powell,PG,24,PHI,11,0,4.7,0.5,1.5,0.294,0.1,0.5,0.167,0.4,1.0,0.364,0.324,0.2,0.2,1.0,0.1,0.5,0.5,0.3,0.1,0.0,0.3,0.7,1.2,regular,2022-2023
459,Norman Powell,SF-SG,28,TOT,45,41,32.4,6.2,13.4,0.461,2.4,5.6,0.419,3.8,7.8,0.491,0.549,4.2,5.2,0.811,0.4,2.8,3.2,2.1,0.9,0.5,1.5,2.4,19.0,regular,2022-2023
459,Norman Powell,SF,28,POR,40,39,33.3,6.2,13.6,0.456,2.3,5.7,0.406,3.9,7.8,0.492,0.542,4.0,5.0,0.803,0.4,2.9,3.3,2.1,1.0,0.4,1.6,2.3,18.7,regular,2022-2023
459,Norman Powell,SG,28,LAC,5,2,25.0,6.4,12.6,0.508,2.6,4.8,0.542,3.8,7.8,0.487,0.611,6.0,7.0,0.857,0.6,2.2,2.8,2.8,0.4,0.8,1.4,2.8,21.4,regular,2022-2023
460,Joshua Primo,SG,19,SAS,50,16,19.3,2.0,5.4,0.374,0.8,2.7,0.307,1.2,2.7,0.444,0.452,0.9,1.2,0.746,0.6,1.6,2.3,1.6,0.4,0.5,1.1,1.6,5.8,regular,2022-2023
461,Taurean Prince,PF,27,MIN,69,8,17.1,2.6,5.7,0.454,1.2,3.3,0.376,1.3,2.3,0.565,0.564,0.9,1.2,0.756,0.4,2.1,2.5,1.0,0.7,0.3,0.8,1.7,7.3,regular,2022-2023
462,Payton Pritchard,SG,24,BOS,71,2,14.1,2.3,5.3,0.429,1.4,3.5,0.412,0.8,1.8,0.461,0.564,0.3,0.3,1.0,0.5,1.4,1.9,2.0,0.4,0.1,0.6,0.9,6.2,regular,2022-2023
463,Trevelin Queen,SG,24,HOU,10,0,7.4,1.5,3.3,0.455,0.9,2.4,0.375,0.6,0.9,0.667,0.591,0.4,0.4,1.0,0.7,0.9,1.6,0.4,0.5,0.1,0.7,0.6,4.3,regular,2022-2023
464,Neemias Queta,C,22,SAC,14,0,8.6,1.2,2.7,0.447,0.0,0.0,0.0,1.2,2.7,0.447,0.447,0.8,1.2,0.647,1.0,1.2,2.2,0.4,0.1,0.6,0.4,1.3,3.2,regular,2022-2023
465,Immanuel Quickley,PG,22,NYK,78,3,23.1,3.6,9.3,0.392,1.8,5.1,0.346,1.9,4.2,0.448,0.487,2.3,2.6,0.881,0.4,2.8,3.2,3.5,0.7,0.0,1.3,2.1,11.3,regular,2022-2023
466,Jahmi'us Ramsey,SG,20,SAC,19,0,7.1,1.3,3.1,0.414,0.3,0.9,0.278,1.0,2.1,0.475,0.457,0.4,0.7,0.5,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2,regular,2022-2023
467,Julius Randle,PF,27,NYK,72,72,35.3,7.1,17.3,0.411,1.7,5.4,0.308,5.4,11.9,0.458,0.459,4.2,5.6,0.756,1.7,8.2,9.9,5.1,0.7,0.5,3.4,2.8,20.1,regular,2022-2023
468,Austin Reaves,SG,23,LAL,61,19,23.2,2.4,5.2,0.459,0.9,2.7,0.317,1.5,2.5,0.616,0.542,1.6,1.9,0.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,7.3,regular,2022-2023
469,Cam Reddish,SF,22,TOT,49,7,20.7,3.4,8.3,0.404,1.3,3.8,0.359,2.0,4.6,0.442,0.485,2.1,2.3,0.902,0.5,1.6,2.1,1.0,1.0,0.3,1.2,1.2,10.1,regular,2022-2023
469,Cam Reddish,SF,22,ATL,34,7,23.4,4.1,10.1,0.402,1.7,4.5,0.379,2.4,5.6,0.421,0.487,2.1,2.4,0.9,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.9,regular,2022-2023
469,Cam Reddish,SF,22,NYK,15,0,14.3,1.8,4.3,0.415,0.5,2.1,0.258,1.3,2.3,0.559,0.477,1.9,2.1,0.906,0.3,1.1,1.4,0.7,0.8,0.3,0.9,1.0,6.1,regular,2022-2023
470,Davon Reed,SG,26,DEN,48,5,13.9,1.7,3.4,0.503,0.8,1.8,0.43,0.9,1.6,0.587,0.618,0.2,0.3,0.667,0.3,2.0,2.3,1.1,0.5,0.2,0.3,1.3,4.4,regular,2022-2023
471,Paul Reed,C,22,PHI,38,2,7.9,1.4,2.5,0.563,0.1,0.2,0.25,1.4,2.3,0.591,0.573,0.2,0.4,0.429,1.2,1.3,2.4,0.4,0.9,0.4,0.3,1.5,3.1,regular,2022-2023
472,Naz Reid,C,22,MIN,77,6,15.8,3.0,6.2,0.489,0.7,2.2,0.343,2.3,4.0,0.568,0.549,1.5,1.9,0.765,1.3,2.6,3.9,0.9,0.5,0.9,1.1,2.2,8.3,regular,2022-2023
473,Nick Richards,C,24,CHO,50,5,7.3,1.2,1.8,0.667,0.0,0.0,0.0,1.2,1.8,0.667,0.667,0.6,0.9,0.698,0.7,1.0,1.7,0.3,0.2,0.4,0.5,1.0,3.0,regular,2022-2023
474,Josh Richardson,SG,28,TOT,65,7,24.6,3.6,8.2,0.438,1.6,3.8,0.415,2.0,4.4,0.458,0.534,1.5,1.7,0.889,0.6,2.2,2.8,1.8,0.9,0.4,1.0,1.8,10.2,regular,2022-2023
474,Josh Richardson,SG,28,BOS,44,0,24.7,3.5,7.8,0.443,1.4,3.5,0.397,2.0,4.3,0.481,0.534,1.4,1.6,0.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7,regular,2022-2023
474,Josh Richardson,SG,28,SAS,21,7,24.4,3.9,9.1,0.429,1.9,4.3,0.444,2.0,4.8,0.416,0.534,1.7,1.8,0.946,0.8,2.1,2.9,2.3,1.0,0.3,1.3,1.6,11.4,regular,2022-2023
475,Austin Rivers,SG,29,DEN,67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1.0,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6.0,regular,2022-2023
476,Duncan Robinson,SG,27,MIA,79,68,25.9,3.7,9.2,0.399,2.9,7.9,0.372,0.7,1.3,0.569,0.559,0.6,0.8,0.836,0.3,2.3,2.6,1.6,0.5,0.2,0.8,2.5,10.9,regular,2022-2023
477,Justin Robinson,PG,24,TOT,25,0,12.2,1.1,3.7,0.301,0.7,2.4,0.295,0.4,1.3,0.313,0.398,0.2,0.3,0.5,0.2,0.7,0.8,1.3,0.4,0.0,0.7,1.1,3.1,regular,2022-2023
477,Justin Robinson,PG,24,MIL,17,0,11.6,1.1,3.4,0.316,0.6,2.2,0.27,0.5,1.2,0.4,0.404,0.1,0.1,1.0,0.1,0.6,0.8,1.2,0.5,0.0,0.6,1.0,2.8,regular,2022-2023
477,Justin Robinson,PG,24,SAC,3,0,5.0,0.3,2.7,0.125,0.0,1.0,0.0,0.3,1.7,0.2,0.125,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.7,0.7,regular,2022-2023
477,Justin Robinson,PG,24,DET,5,0,18.2,1.8,5.6,0.321,1.6,4.2,0.381,0.2,1.4,0.143,0.464,0.4,1.2,0.333,0.4,1.0,1.4,1.8,0.2,0.2,1.0,1.6,5.6,regular,2022-2023
478,Mitchell Robinson,C,23,NYK,72,62,25.7,3.6,4.8,0.761,0.0,0.0,0.0,3.6,4.8,0.761,0.761,1.2,2.5,0.486,4.1,4.5,8.6,0.5,0.8,1.8,0.8,2.7,8.5,regular,2022-2023
479,Jeremiah Robinson-Earl,C,21,OKC,49,36,22.2,2.7,6.6,0.414,1.2,3.4,0.352,1.6,3.2,0.478,0.503,0.8,1.1,0.741,1.5,4.1,5.6,1.0,0.6,0.3,0.8,1.5,7.5,regular,2022-2023
480,Isaiah Roby,PF,23,OKC,45,28,21.1,3.7,7.2,0.514,1.0,2.2,0.444,2.7,5.0,0.545,0.582,1.7,2.6,0.672,1.7,3.2,4.8,1.6,0.8,0.8,1.0,2.4,10.1,regular,2022-2023
481,Rajon Rondo,PG,35,TOT,39,1,17.9,1.7,4.5,0.386,0.8,2.3,0.352,0.9,2.3,0.42,0.474,0.5,0.7,0.731,0.4,2.4,2.8,4.4,0.8,0.2,1.7,1.4,4.8,regular,2022-2023
481,Rajon Rondo,PG,35,LAL,18,0,16.1,1.3,3.9,0.324,0.4,1.7,0.267,0.8,2.3,0.366,0.38,0.1,0.1,0.5,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,3.1,regular,2022-2023
481,Rajon Rondo,PG,35,CLE,21,1,19.4,2.1,5.0,0.429,1.1,2.8,0.397,1.0,2.2,0.468,0.538,0.9,1.1,0.75,0.2,2.6,2.8,4.9,0.9,0.0,1.6,1.5,6.2,regular,2022-2023
482,Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,0.445,1.4,3.5,0.402,3.3,7.0,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3.0,4.0,0.8,0.5,1.5,0.6,12.0,regular,2022-2023
483,Terrence Ross,SG,30,ORL,63,0,23.0,3.5,8.8,0.397,1.2,4.2,0.292,2.3,4.6,0.493,0.467,1.8,2.1,0.862,0.3,2.2,2.6,1.8,0.4,0.2,1.2,1.1,10.0,regular,2022-2023
484,Terry Rozier,SG,27,CHO,73,73,33.7,7.1,16.0,0.444,3.0,8.1,0.374,4.1,7.9,0.516,0.539,2.1,2.4,0.852,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6,19.3,regular,2022-2023
485,Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,0.363,1.7,5.1,0.339,2.6,7.0,0.38,0.434,2.6,3.0,0.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1,regular,2022-2023
486,D'Angelo Russell,PG,25,MIN,65,65,32.0,6.2,15.0,0.411,2.7,8.0,0.34,3.5,7.0,0.492,0.502,3.0,3.7,0.825,0.4,2.9,3.3,7.1,1.0,0.3,2.5,2.0,18.1,regular,2022-2023
487,Matt Ryan,SF,24,BOS,1,0,5.0,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,regular,2022-2023
488,Domantas Sabonis,C-PF,25,TOT,62,61,34.5,7.1,12.5,0.573,0.6,2.0,0.312,6.5,10.5,0.623,0.598,4.0,5.4,0.741,3.2,8.9,12.1,5.2,1.0,0.4,3.1,3.3,18.9,regular,2022-2023
488,Domantas Sabonis,C,25,IND,47,46,34.7,7.0,12.1,0.58,0.7,2.3,0.324,6.3,9.9,0.639,0.61,4.1,5.5,0.74,3.3,8.8,12.1,5.0,1.0,0.5,3.0,3.1,18.9,regular,2022-2023
488,Domantas Sabonis,PF,25,SAC,15,15,33.6,7.5,13.5,0.554,0.3,1.1,0.235,7.2,12.3,0.584,0.564,3.7,4.9,0.743,3.1,9.3,12.3,5.8,0.9,0.3,3.5,3.8,18.9,regular,2022-2023
489,Olivier Sarr,C,22,OKC,22,2,19.1,2.6,4.6,0.574,0.6,1.3,0.448,2.0,3.3,0.625,0.639,1.1,1.3,0.828,1.5,2.7,4.2,0.9,0.3,0.7,1.0,2.4,7.0,regular,2022-2023
490,Tomá Satoransk?,SG,30,TOT,55,13,16.5,1.3,3.5,0.377,0.2,1.0,0.208,1.1,2.5,0.442,0.406,0.8,1.0,0.796,0.5,1.8,2.3,3.3,0.5,0.1,0.8,1.3,3.6,regular,2022-2023
490,Tomá Satoransk?,SG,30,NOP,32,3,15.0,1.0,3.3,0.299,0.2,1.0,0.161,0.8,2.4,0.355,0.322,0.6,0.8,0.76,0.6,1.4,2.0,2.4,0.4,0.0,0.7,1.0,2.8,regular,2022-2023
490,Tomá Satoransk?,SG,30,SAS,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,regular,2022-2023
490,Tomá Satoransk?,SG,30,WAS,22,10,18.9,1.8,3.8,0.476,0.3,1.0,0.273,1.5,2.8,0.548,0.512,1.0,1.1,0.84,0.4,2.4,2.8,4.9,0.7,0.2,1.0,1.7,4.9,regular,2022-2023
491,Jordan Schakel,SG,23,WAS,4,0,7.5,0.3,2.8,0.091,0.3,1.5,0.167,0.0,1.3,0.0,0.136,0.5,0.5,1.0,0.5,1.5,2.0,0.0,0.3,0.0,0.3,0.0,1.3,regular,2022-2023
492,Admiral Schofield,SF,24,ORL,38,1,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,regular,2022-2023
493,Dennis Schröder,SG-PG,28,TOT,64,29,28.7,4.9,11.3,0.431,1.3,3.9,0.344,3.5,7.4,0.477,0.49,2.5,2.9,0.853,0.5,2.8,3.3,4.6,0.8,0.1,2.2,2.4,13.5,regular,2022-2023
493,Dennis Schröder,SG,28,BOS,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8.0,0.485,0.497,2.5,3.0,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4,regular,2022-2023
493,Dennis Schröder,PG,28,HOU,15,4,26.9,3.7,9.3,0.393,1.3,3.9,0.328,2.4,5.5,0.439,0.461,2.3,2.6,0.872,0.4,2.9,3.3,5.9,0.8,0.2,2.6,2.5,10.9,regular,2022-2023
494,Tre Scott,SF,25,CLE,2,0,5.5,1.5,3.0,0.5,0.0,0.5,0.0,1.5,2.5,0.6,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0,regular,2022-2023
495,Jay Scrubb,SG,21,LAC,18,0,6.7,1.0,2.6,0.391,0.3,1.2,0.286,0.7,1.4,0.48,0.457,0.4,0.6,0.7,0.1,0.8,0.9,0.4,0.2,0.2,0.4,0.5,2.7,regular,2022-2023
496,Wayne Selden,SG,27,NYK,3,0,6.3,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.0,0.375,0.7,1.3,0.5,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.7,regular,2022-2023
497,Alperen Þengün,C,19,HOU,72,13,20.7,3.5,7.3,0.474,0.4,1.6,0.248,3.1,5.7,0.539,0.502,2.3,3.2,0.711,1.9,3.5,5.5,2.6,0.8,0.9,2.0,3.0,9.6,regular,2022-2023
498,Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1.0,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0,regular,2022-2023
499,Landry Shamet,SG,24,PHO,69,14,20.8,2.8,7.0,0.394,1.8,4.8,0.368,1.0,2.2,0.45,0.521,1.0,1.2,0.84,0.2,1.6,1.8,1.6,0.4,0.1,0.6,1.3,8.3,regular,2022-2023
500,Day'Ron Sharpe,PF,20,BRK,32,8,12.2,2.7,4.7,0.577,0.1,0.2,0.286,2.6,4.4,0.592,0.584,0.8,1.3,0.585,2.5,2.5,5.0,0.5,0.3,0.5,0.9,1.9,6.2,regular,2022-2023
501,Pascal Siakam,PF,27,TOR,68,68,37.9,8.8,17.8,0.494,1.1,3.2,0.344,7.7,14.5,0.527,0.525,4.2,5.6,0.749,1.9,6.6,8.5,5.3,1.3,0.6,2.7,3.3,22.8,regular,2022-2023
502,Chris Silva,PF,25,TOT,10,0,9.1,0.8,1.5,0.533,0.0,0.0,0.0,0.8,1.5,0.533,0.533,1.0,1.2,0.833,1.3,2.3,3.6,0.7,0.0,0.1,0.8,2.0,2.6,regular,2022-2023
502,Chris Silva,PF,25,MIN,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,regular,2022-2023
